user_id,event_type,event_time
1,login,2024-01-16 08:00:00
1,page_view,2024-01-16 08:05:00
1,transaction,2024-01-16 10:30:00
2,login,2024-01-21 12:00:00
2,page_view,2024-01-21 12:10:00
3,login,2024-02-02 09:00:00
3,transaction,2024-02-02 11:45:00
4,login,2024-02-11 14:00:00
4,page_view,2024-02-11 14:15:00
5,login,2024-02-16 07:30:00
5,transaction,2024-02-16 08:00:00
1,login,2024-03-01 11:00:00
1,transaction,2024-03-01 12:00:00
6,login,2024-03-02 09:30:00
6,transaction,2024-03-02 10:30:00
2,login,2024-03-06 14:30:00
7,login,2024-03-07 08:45:00
7,page_view,2024-03-07 09:00:00
3,login,2024-03-11 12:30:00
3,transaction,2024-03-11 13:15:00
8,login,2024-03-12 10:00:00
8,transaction,2024-03-12 11:00:00
9,login,2024-03-16 13:30:00
10,login,2024-03-21 09:00:00
10,transaction,2024-03-21 10:00:00
5,login,2024-03-22 07:30:00
5,transaction,2024-03-22 08:30:00

